country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Ecuador,ECU,5/1/2021,1034338,791651,242687,46886,43089,5.86,4.49,1.38,2442,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
Egypt,EGY,4/18/2021,660000,660000,,,22521,0.64,0.64,,220,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,https://english.ahram.org.eg/NewsContent/1/64/409875/Egypt/Politics-/Egypt-to-produce--mln-doses-of-Sinovac-coronavirus.aspx
El Salvador,SLV,4/30/2021,915725,839870,75855,40656,31022,14.12,12.95,1.17,4783,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.gob.sv/
England,OWID_ENG,5/1/2021,41730517,28895159,12835358,452789,419731,74.14,51.34,22.8,7457,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Equatorial Guinea,GNQ,4/28/2021,75518,64646,10872,,3557,5.38,4.61,0.77,2535,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
Estonia,EST,5/2/2021,464935,339651,125284,2443,7630,35.05,25.6,9.44,5752,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
Eswatini,SWZ,4/25/2021,34897,34897,,,491,3.01,3.01,,423,Oxford/AstraZeneca,Government of Eswatini,https://twitter.com/EswatiniGovern1/status/1386367464636833795
Ethiopia,ETH,4/8/2021,430000,,,,,0.37,,,,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/EthiopiaFMoH/posts/1795514303952698
Faeroe Islands,FRO,4/28/2021,20238,14458,5780,976,772,41.42,29.59,11.83,15799,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Falkland Islands,FLK,4/14/2021,4407,2632,1775,,12,126.53,75.57,50.96,3445,Oxford/AstraZeneca,Government of the Falkland Islands,https://www.facebook.com/FalkIandsGov/posts/4401230323224594
Fiji,FJI,4/16/2021,56000,56000,,28295,4861,6.25,6.25,,5423,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FijiPM/status/1382948915968823298
Finland,FIN,5/2/2021,1863380,1694744,168636,2195,25760,33.63,30.59,3.04,4649,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,5/1/2021,22284791,15782608,6562111,208438,383156,32.7,23.16,9.63,5622,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Gabon,GAB,4/23/2021,8897,6895,2002,,448,0.4,0.31,0.09,201,Sinopharm/Beijing,Ministry of Health,https://twitter.com/SanteGOUVGA/status/1385685719537143809
Gambia,GMB,4/24/2021,20922,20922,,,279,0.87,0.87,,115,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MoHCovid19GMB/status/1386066550675976194
Georgia,GEO,4/30/2021,45338,45338,,1770,1492,1.14,1.14,,374,Oxford/AstraZeneca,Government of Georgia,https://www.facebook.com/ncdcgeorgia/photos/a.126526410768631/3951728241581743/
Germany,DEU,5/2/2021,30147919,23492053,6655866,250114,653826,35.98,28.04,7.94,7804,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Ghana,GHA,4/30/2021,849527,849527,,,710,2.73,2.73,,23,Oxford/AstraZeneca,Government of Ghana,https://www.ghanahealthservice.org/covid19/press-releases.php
Gibraltar,GIB,5/1/2021,71114,37504,33611,780,421,211.08,111.32,99.76,12496,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1388433273718706179
Greece,GRC,5/1/2021,3115339,2170847,944492,17646,41959,29.89,20.83,9.06,4026,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,4/29/2021,14139,8867,5272,292,244,24.9,15.62,9.29,4298,Pfizer/BioNTech,Government of Greenland,https://corona.nun.gl/emner/statistik/antal_vaccinerede
Grenada,GRD,4/29/2021,15397,12666,2731,,376,13.68,11.26,2.43,3342,Oxford/AstraZeneca,Government of Grenada,https://www.facebook.com/HealthGrenada/photos/a.570448523487244/1005798353285590
Guatemala,GTM,5/1/2021,171267,169369,1898,434,812,0.96,0.95,0.01,45,"Moderna, Oxford/AstraZeneca",Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Guernsey,GGY,4/20/2021,46587,32969,13618,,758,69.48,49.17,20.31,11305,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Guinea,GIN,4/30/2021,143534,95312,48222,2240,2373,1.09,0.73,0.37,181,Sputnik V,National Health Security Agency,https://twitter.com/anss_guinee/status/1388400848573812739
Guyana,GUY,4/26/2021,126800,124000,2800,,4743,16.12,15.76,0.36,6030,Oxford/AstraZeneca,Ministry of Health,https://newsroom.gy/2021/04/27/covid-19-a-quarter-of-guyanas-adult-population-now-vaccinated/
Honduras,HND,4/9/2021,57639,55000,2639,,802,0.58,0.56,0.03,81,"Moderna, Oxford/AstraZeneca",Government of Honduras,https://proceso.hn/honduras-a-la-zaga-en-vacunacion-en-ca/
Hong Kong,HKG,5/2/2021,1491873,952119,539754,37454,30969,19.9,12.7,7.2,4131,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.covidvaccine.gov.hk/en/dashboard
Hungary,HUN,5/2/2021,6150309,4073149,2077160,69755,125906,63.67,42.16,21.5,13033,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/4-millio-73-ezer-beoltott-1219-az-uj-fertozott-elhunyt-106-beteg
Iceland,ISL,4/30/2021,145261,109409,36228,12197,4366,42.57,32.06,10.62,12794,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,5/2/2021,154211511,126704151,27507360,585186,2146620,11.17,9.18,1.99,1556,"Covaxin, Oxford/AstraZeneca",Government of India,https://dashboard.cowin.gov.in/
Indonesia,IDN,5/2/2021,20172516,12469406,7703110,,228792,7.38,4.56,2.82,836,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://vaksin.kemkes.go.id/#/vaccines
